,Palavra,Relevância
0,arquivo,11.04119207813177
1,de,10.209203019902617
2,histórico,9.640264129292504
3,do,9.591189455783677
4,2010,9.445314525710998
5,parque,9.422656525880031
6,jardim,9.275399349291558
7,responder,9.265689011026405
8,documentação,9.189012678164481
9,instituto,9.151030329867657
10,da,9.13294199599167
11,e,9.126022965228016
12,municipal,8.978912532166243
13,centro,8.955966880448162
14,memória,8.869540473920267
15,que,8.794239615778235
16,novembro,8.710537642763951
17,público,8.634430921327267
18,museu,8.58789101720313
19,circunscrição,8.46036597693076
20,rio,8.436949048560622
21,fundação,8.410755376446868
22,auditoria,8.354742985773289
23,regional,8.331428980559933
24,i,8.331374419775244
25,sul,8.321177231484564
26,federal,8.314692471532636
27,morre,8.311309469401246
28,às,8.273513615254544
29,a,8.272783249787269
30,vila,8.240562043862072
31,o,8.191410161740354
32,é,8.157111853009981
33,estadão,8.142293468419208
34,-,8.107592125413584
35,universidade,8.072126519111624
36,alto,8.050892221225512
37,santa,8.04602493048305
38,(brasil),8.034277076815782
39,tags,8.018847776164433
40,em,8.013939793149571
41,grande,7.986143040614164
42,folha,7.953008533847076
43,tribunal,7.93677258461604
44,campus,7.859267760330916
45,conjunto,7.8431717200100275
46,judiciária,7.824860551972052
47,para,7.810311478542743
48,estado,7.79839073055871
49,militar,7.7936560676867
50,dos,7.763198633109155
51,com,7.742770759463134
52,tecnologia,7.68958897707135
53,–,7.650177368577938
54,não,7.647014767624002
55,senhora,7.624640975009921
56,nacional,7.58054875937752
57,município,7.562843738747403
58,ícone,7.557753372984166
59,um,7.5575716233459165
60,13,7.55572383264494
61,na,7.531702079295344
62,são,7.518154681033123
63,justiça,7.511251508140559
64,porto,7.509965823415041
65,se,7.4883169007738655
66,memorial,7.480633388876084
67,no,7.44849712076754
68,joão,7.444658658667388
69,das,7.436219824520686
70,maria,7.435170038963377
71,santo,7.404357229898821
72,uma,7.351465839092082
73,por,7.348972459139933
74,lula,7.340546586124205
75,brasil,7.318073063922905
76,espírito,7.317042335293468
77,trabalho,7.295686863128329
78,região,7.2897349076592155
79,pedro,7.289034220913506
80,roberto,7.278876978201411
81,mais,7.2753937989424555
82,1,7.269563592609712
83,industrial,7.26825662351633
84,janeiro,7.265876265963173
85,alegre,7.264285040786601
86,josé,7.2590046587796495
87,ciência,7.25401379930879
88,1ª,7.242997513932063
89,paulo,7.238995678453245
90,carlos,7.233042436841964
91,associação,7.225035675789718
92,2011,7.221675610709326
93,praia,7.215230772053408
94,nova,7.192577421183621
95,anos,7.190925714341704
96,12,7.187097317708434
97,histórica,7.176257467589047
98,ser,7.165118018517769
99,diz,7.163440884724095
