,Palavra,Relevância
0,enterrasse,9.228621288776479
1,covas,8.805542499972798
2,internacao,8.720219315561812
3,cetenas,8.48657399992804
4,zeladoriaspcriticasbruno,8.373360401667263
5,rasas,8.367736871079666
6,chuvasspbruno,8.27535869711659
7,abraciclo,8.062311393512022
8,eletricospbruno,8.061994811008839
9,butantanjorge,7.944958076538989
10,kalilafastamento,7.944958076538989
11,sepultar,7.555662703371288
12,semadura,7.4390587362365395
13,ancinho,7.313004295768502
14,auxilioaluguel,7.19878995926867
15,contorcer,7.080286106031539
16,ossários,7.07193543768876
17,cavar,6.931799510885791
18,vereadoresspauxiliosaude,6.8312428601981265
19,controladorgeral,6.8312428601981265
20,coveamento,6.758767293889321
21,espantoso,6.717834501252035
22,procedências,6.6912352060825
23,amsterdã,6.549712545908909
24,abrisse,6.538607290174132
25,enterrados,6.527310049711723
26,cracolandia,6.442629049741129
27,desestatizacao,6.338088652342496
28,previas,6.3318116253942405
29,predios,6.299112307165976
30,ativismo,6.189478288456773
31,forçados,6.136221280628752
32,levasse,6.097310018800686
33,húmus,6.023539865701198
34,chuvasspmortes,6.0159703645967255
35,interdicao,6.0080414175916115
36,heroínas,5.8547035012439546
37,enxadinha,5.850658892621983
38,cavados,5.846038343201817
39,reeleicao,5.770801841645407
40,paralisacao,5.768295509367634
41,clandestinas,5.699053800058822
42,cuido,5.655997282927767
43,esterco,5.651643215576318
44,caixões,5.603117284224013
45,antipetismo,5.523067377557865
46,plantada,5.507839812716469
47,boulos,5.504630689511922
48,espaçamento,5.465018431275175
49,fertilizar,5.4318536347662025
50,insanos,5.418906545025079
51,canteiros,5.417329845152696
52,enterrar,5.40466779366672
53,eleicoes,5.395275998830248
54,cavernas,5.378405877243459
55,imbecis,5.3714557452028355
56,sambando,5.340365509623666
57,espaçadas,5.331646232790652
58,fecal,5.307711808932148
59,plantadas,5.233937145203549
60,enterros,5.2192736376840845
61,cavadas,5.189443430165874
62,adubadas,5.142690103021173
63,mausoléus,5.141045147196241
64,zeladoria,5.1276522166677365
65,cemitérios,5.091160891484803
66,concessao,5.084009015788069
67,anistia,5.02980131786245
68,prvidencia,5.015787989076698
69,semeadora,4.960764001247224
70,viaduto,4.9546167006990665
71,balanco,4.944620893639953
72,hits,4.938002867647778
73,simbolizado,4.90763606990961
74,ilume,4.901707101039284
75,cavam,4.876704652948714
76,gouvenador,4.869823496102249
77,siriolibanes,4.785022349935239
78,secretarios,4.770538024886687
79,farsa,4.71714078519953
80,enterraram,4.668810240013144
81,subprefeitos,4.665402435011957
82,lanco,4.622745528576599
83,doria,4.619469712614727
84,sulcamento,4.58145936261432
85,exercito,4.576505700241724
86,cemitério,4.575163360318546
87,plantio,4.546300682896305
88,burno,4.544831545672945
89,cavarem,4.475255607343258
90,quimioterapia,4.464096930495318
91,enterradas,4.451389785233213
92,calcarios,4.442045402691903
93,coletivas,4.4124229770098955
94,semeadura,4.3886204506772355
95,sulcos,4.371136702539349
96,escavadas,4.355826057543335
97,gleisi,4.348174978538779
98,forth,4.301039074089797
99,preparadas,4.297608029011253
